type,sector,net_usable_area,net_area,n_rooms,n_bathroom,latitude,longitude,price
casa,las condes,300.0,850.0,6.0,5.0,-33.37917,-70.51703,33500
departamento,las condes,160.0,160.0,3.0,3.0,-33.3745,-70.50963,11500
departamento,las condes,148.0,190.0,4.0,4.0,-33.42085,-70.58241,12500
departamento,las condes,90.0,90.0,2.0,2.0,-33.37058,-70.50454,6300
casa,lo barnechea,270.0,870.0,4.0,4.0,-33.34525,-70.52841,23400
departamento,nunoa,56.0,56.0,3.0,1.0,-33.46568,-70.5936,2720
departamento,vitacura,300.0,400.0,4.0,4.0,-33.3886,-70.5893,29000
casa,vitacura,152.0,257.0,3.0,3.0,-33.3798,-70.5444,14500
departamento,las condes,170.0,180.0,4.0,4.0,-33.4249,-70.5824,12900
casa,lo barnechea,647.0,1000.0,6.0,7.0,-33.3518,-70.5362,38750
casa,lo barnechea,200.0,630.0,6.0,5.0,-33.34125,-70.4959,16000
departamento,las condes,148.0,185.37,3.0,4.0,-33.39676,-70.56329000000001,15490
casa,la reina,180.0,570.0,4.0,3.0,-33.4582,-70.523,16000
departamento,las condes,48.0,56.0,1.0,1.0,-33.39938,-70.57245,5500
departamento,providencia,50.0,60.0,2.0,2.0,-33.43485,-70.61573,6500
casa,las condes,220.0,600.0,4.0,4.0,-33.39944000000001,-70.51965,20400
casa,vitacura,873.0,10806.0,5.0,10.0,-33.3725,-70.556,79000
departamento,providencia,97.0,110.0,3.0,2.0,-33.426320000000004,-70.59867,8200
casa,vitacura,170.0,189.0,4.0,2.0,-33.38496,-70.53933,11000
casa,la reina,150.0,331.0,5.0,3.0,-33.43522,-70.5529,10841
casa,vitacura,140.0,400.0,4.0,4.0,-33.38315,-70.54606,15900
casa,la reina,100.0,212.0,3.0,2.0,-33.44729,-70.56698,7576
departamento,las condes,107.0,107.0,4.0,3.0,-33.41888,-70.55781999999998,6900
departamento,las condes,75.0,90.0,2.0,2.0,-33.38758,-70.53905999999998,8190
departamento,nunoa,48.0,52.0,2.0,1.0,-33.45783,-70.59872,4500
departamento,vitacura,105.0,105.0,2.0,2.0,-33.3999,-70.5808,9100
departamento,nunoa,129.0,129.0,3.0,2.0,-33.4517,-70.6307,5700
casa,vitacura,200.0,600.0,3.0,2.0,-33.3814,-70.57806,22000
casa,la reina,235.0,625.0,5.0,4.0,-33.441,-70.5309,19490
departamento,vitacura,130.0,140.0,3.0,3.0,-33.3835,-70.5531,11500
departamento,las condes,92.0,102.0,3.0,2.0,-33.41923,-70.57334,7000
departamento,las condes,116.0,131.0,4.0,4.0,-33.4239,-70.5817,10500
departamento,vitacura,140.0,189.0,3.0,3.0,-33.3967,-70.57815,17000
departamento,las condes,151.0,151.0,4.0,3.0,-33.4294,-70.56521,12138
departamento,las condes,140.0,160.0,4.0,3.0,-33.41182,-70.53156,12550
casa,las condes,610.0,5232.0,6.0,6.0,-33.3889,-70.51977,95000
departamento,lo barnechea,285.0,755.0,3.0,4.0,-33.36484,-70.54651,39000
departamento,las condes,140.0,150.0,4.0,4.0,-33.41796,-70.56831,11647
casa,lo barnechea,190.0,580.0,5.0,4.0,-33.36637,-70.52669,17900
departamento,providencia,166.0,171.0,4.0,3.0,-33.42202,-70.60047,9768
departamento,nunoa,80.0,91.0,3.0,2.0,-33.4509,-70.6147,5400
casa,lo barnechea,80.0,1000.0,1.0,1.0,-33.36054,-70.50431,14000
departamento,las condes,159.0,159.0,3.0,3.0,-33.4323,-70.574,11400
departamento,providencia,174.0,206.0,5.0,3.0,-33.42278,-70.60219000000002,14700
departamento,nunoa,70.0,72.0,3.0,2.0,-33.4652,-70.6238,3212
departamento,las condes,124.0,164.0,4.0,3.0,-33.42243,-70.58074,8850
casa,vitacura,268.0,495.0,4.0,4.0,-33.38582,-70.58296999999997,24000
departamento,providencia,104.0,110.0,4.0,3.0,-33.43895,-70.6034,6531
departamento,las condes,140.0,160.0,4.0,3.0,-33.40645,-70.57063000000002,12790
casa,las condes,158.0,570.0,3.0,3.0,-33.421170000000004,-70.50105,14510
casa,las condes,270.0,680.0,4.0,3.0,-33.3745,-70.5079,25800
casa,la reina,280.0,560.0,5.0,4.0,-33.46582,-70.51918,14129
departamento,nunoa,72.0,80.0,2.0,2.0,-33.448,-70.6098,5200
casa,las condes,138.0,202.0,4.0,3.0,-33.4274,-70.5542,8990
departamento,vitacura,73.0,91.0,2.0,2.0,-33.37405,-70.51704000000002,7250
departamento,providencia,73.0,86.0,2.0,2.0,-33.438,-70.6061,6690
departamento,nunoa,66.0,75.0,3.0,2.0,-33.45783,-70.59872,4642
casa,las condes,248.0,519.0,5.0,4.0,-33.421170000000004,-70.50105,25800
departamento,las condes,184.0,190.0,3.0,3.0,-33.3965,-70.56324000000002,14390
casa,vitacura,150.0,300.0,4.0,4.0,-33.320840000000004,-70.55218,13890
casa,lo barnechea,320.0,1000.0,4.0,3.0,-33.3441,-70.5022,17700
departamento,las condes,92.0,104.0,3.0,3.0,-33.417190000000005,-70.55538,6559
casa,lo barnechea,180.0,340.0,4.0,2.0,-33.3317,-70.5086,14000
casa,las condes,192.0,252.0,4.0,3.0,-33.4196,-70.5517,9300
casa,lo barnechea,360.0,1076.0,5.0,5.0,-33.3492,-70.5416,36000
departamento,vitacura,121.4,128.4,4.0,4.0,-33.40041,-70.57977,9500
departamento,la reina,109.0,133.0,3.0,3.0,-33.43656,-70.57289,9800
casa,lo barnechea,313.0,1412.0,5.0,4.0,-33.3316,-70.5526,27500
departamento,vitacura,99.0,118.0,3.0,2.0,-33.37937,-70.57288,10000
casa,lo barnechea,290.0,1075.0,5.0,4.0,-33.3379,-70.5657,27000
departamento,vitacura,260.0,285.0,3.0,3.0,-33.3948,-70.5926,25900
departamento,las condes,138.0,138.0,4.0,3.0,-33.419909999999994,-70.55354,8500
casa,lo barnechea,290.0,815.0,4.0,3.0,-33.33856,-70.55400999999998,23790
casa,vitacura,190.0,300.0,5.0,4.0,-33.3786,-70.5552,15100
departamento,las condes,290.0,200.0,4.0,3.0,-33.3826,-70.5068,29900
casa,lo barnechea,285.0,890.0,5.0,4.0,-33.34087,-70.54489000000001,21000
departamento,las condes,110.0,125.0,3.0,3.0,-33.4015,-70.5558,9500
casa,la reina,211.0,451.0,4.0,2.0,-33.4498,-70.5675,12314
casa,lo barnechea,720.0,3500.0,5.0,4.0,-33.36612,-70.52515,45000
casa,la reina,140.0,300.0,3.0,3.0,-33.44481,-70.5686,11200
casa,las condes,130.0,225.0,3.0,3.0,-33.40176,-70.55326,9226
departamento,las condes,140.0,280.0,4.0,4.0,-33.4242,-70.5761,11300
departamento,lo barnechea,400.0,452.0,4.0,4.0,-33.3569,-70.547,27000
casa,vitacura,150.0,300.0,3.0,3.0,-33.37937,-70.57288,12300
departamento,vitacura,46.0,60.0,1.0,1.0,-33.4017,-70.5862,7200
casa,las condes,110.0,208.0,3.0,2.0,-33.4293,-70.5841,10883
departamento,nunoa,54.0,60.0,2.0,2.0,-33.46383,-70.62405,3480
